id,outlet,outlet_id,category,bias_label,source_type,title,summary,link,published,author,outlet_weight,baseline_expected_hype,full_text,subjectivity_score,superlative_density,clickbait_syntax,vague_authority_score,unsubstantiated_score,ner_count,entities,hype_score,hype_tier,is_flagged
bloomberg_tech_0001,Bloomberg Technology,bloomberg_tech,Technology & Finance,Institutional Financial,rss,Apple Expands AI Infrastructure With Multi-Billion Data Center Commitment,"Apple Inc. is committing $5 billion over three years to proprietary enterprise server infrastructure, expanding its private cloud computation capabilities as institutional demand grows.",https://example.com/bloomberg_tech/bloomberg_tech_0001,2026-09-10T12:00:00Z,Bloomberg Technology Staff,1.0,0.18,,0.2375,0.0,0.035,0.0,0.0,5,"['APPLE', 'Apple Expands', 'Apple Inc', 'Billion Data Center Commitment', 'Infrastructure With Multi']",0.0664,Low Hype (Objective / Wire),False
bloomberg_tech_0002,Bloomberg Technology,bloomberg_tech,Technology & Finance,Institutional Financial,rss,Nvidia Revenue Growth Moderates to 45% as Cloud Providers Optimize GPU Clusters,"Nvidia Corp. reported quarterly sales of $32.4 billion, meeting analyst forecasts while hyperscalers such as Microsoft and Google focus on capital expenditure return cycles.",https://example.com/bloomberg_tech/bloomberg_tech_0002,2026-09-10T12:00:00Z,Bloomberg Technology Staff,1.0,0.22,,0.5,0.0,0.0318,0.0,0.0,6,"['Cloud Providers Optimize', 'GOOGLE', 'MICROSOFT', 'NVIDIA', 'Nvidia Corp', 'Nvidia Revenue Growth Moderates']",0.1314,Low Hype (Objective / Wire),False
bloomberg_tech_0003,Bloomberg Technology,bloomberg_tech,Technology & Finance,Institutional Financial,rss,TSMC Accelerates 2nm Production Timeline Ahead of Global Fab Deployments,Taiwan Semiconductor Manufacturing Co. confirmed initial risk production for next-generation 2nm silicon remains on schedule across Taiwan and Arizona facilities.,https://example.com/bloomberg_tech/bloomberg_tech_0003,2026-09-10T12:00:00Z,Bloomberg Technology Staff,1.0,0.15,,0.3333,0.0,0.0,0.0,0.85,4,"['Global Fab Deployments', 'Production Timeline Ahead', 'TSMC', 'Taiwan Semiconductor Manufacturing Co']",0.2108,Low Hype (Objective / Wire),False
bloomberg_tech_0004,Bloomberg Technology,bloomberg_tech,Technology & Finance,Institutional Financial,rss,Enterprise Software Valuation Multiples Contract Following Mixed Earnings,Valuation multiples for SaaS companies compressed by 12% in the second quarter as corporate enterprise budgets tightened scrutiny on generative AI pilot budgets.,https://example.com/bloomberg_tech/bloomberg_tech_0004,2026-09-10T12:00:00Z,Bloomberg Technology Staff,1.0,0.2,,0.0875,0.0,0.0,0.0,0.0,1,['Enterprise Software Valuation Multiples Contract Following Mixed Earnings'],0.0219,Low Hype (Objective / Wire),False
bloomberg_tech_0005,Bloomberg Technology,bloomberg_tech,Technology & Finance,Institutional Financial,rss,OpenAI In Talks for New Funding Round Valued Above $150 Billion,"OpenAI is in preliminary discussions with venture syndicates and sovereign wealth funds to raise additional equity, valuing the startup at approximately $150 billion.",https://example.com/bloomberg_tech/bloomberg_tech_0005,2026-09-10T12:00:00Z,Bloomberg Technology Staff,1.0,0.38,,0.3886,0.0,0.0,0.0,0.0,3,"['In Talks', 'New Funding Round Valued Above', 'OPENAI']",0.0972,Low Hype (Objective / Wire),False
bloomberg_tech_0006,Bloomberg Technology,bloomberg_tech,Technology & Finance,Institutional Financial,rss,Semiconductor Supply Chain Faces Tight Substrate Packaging Constraints,"High-bandwidth memory packaging capacity remains constrained at major foundries, limiting shipment velocities for advanced AI accelerator chips into Q4.",https://example.com/bloomberg_tech/bloomberg_tech_0006,2026-09-10T12:00:00Z,Bloomberg Technology Staff,1.0,0.16,,0.4619,0.0,0.0,0.0,0.85,1,['Semiconductor Supply Chain Faces Tight Substrate Packaging Constraints'],0.243,Low Hype (Objective / Wire),False
bloomberg_tech_0007,Bloomberg Technology,bloomberg_tech,Technology & Finance,Institutional Financial,rss,European Regulators Scrutinize Cloud Computing Licensing Agreements,The European Commission launched inquiries into competitive practices surrounding enterprise hyper-scaler licensing terms and software bundling.,https://example.com/bloomberg_tech/bloomberg_tech_0007,2026-09-10T12:00:00Z,Bloomberg Technology Staff,1.0,0.19,,0.0,0.0,0.0,0.0,0.85,1,['European Regulators Scrutinize Cloud Computing Licensing Agreements'],0.1275,Low Hype (Objective / Wire),False
bloomberg_tech_0008,Bloomberg Technology,bloomberg_tech,Technology & Finance,Institutional Financial,rss,Autonomous Vehicle Fleets Surpass 10 Million Commercial Driverless Miles,Waymo and rival robotaxi operators reached a combined 10 million paid commercial driverless passenger miles in Phoenix and San Francisco test markets.,https://example.com/bloomberg_tech/bloomberg_tech_0008,2026-09-10T12:00:00Z,Bloomberg Technology Staff,1.0,0.24,,0.2333,0.0,0.0,0.0,0.0,4,"['Autonomous Vehicle Fleets Surpass', 'Million Commercial Driverless Miles', 'San Francisco', 'WAYMO']",0.0583,Low Hype (Objective / Wire),False
bloomberg_tech_0009,Bloomberg Technology,bloomberg_tech,Technology & Finance,Institutional Financial,rss,Quantum Computing Startups Pivot Toward Hybrid Classical-Quantum Architectures,"Faced with extended quantum error correction timelines, venture-backed hardware developers are reorienting near-term roadmaps toward hybrid co-processing.",https://example.com/bloomberg_tech/bloomberg_tech_0009,2026-09-10T12:00:00Z,Bloomberg Technology Staff,1.0,0.28,,0.0,0.0,0.0,0.0,0.85,2,"['Quantum Architectures', 'Quantum Computing Startups Pivot Toward Hybrid Classical']",0.1275,Low Hype (Objective / Wire),False
bloomberg_tech_0010,Bloomberg Technology,bloomberg_tech,Technology & Finance,Institutional Financial,rss,Wall Street Banks Deploy Local LLMs for Algorithmic Trade Compliance Audits,JPMorgan and Goldman Sachs have implemented privately hosted language models to monitor institutional trading desk communications for regulatory compliance.,https://example.com/bloomberg_tech/bloomberg_tech_0010,2026-09-10T12:00:00Z,Bloomberg Technology Staff,1.0,0.21,,0.1875,0.0,0.0,0.0,0.85,6,"['Algorithmic Trade Compliance Audits', 'GOLDMAN SACHS', 'Goldman Sachs', 'JPMORGAN', 'WALL STREET', 'Wall Street Banks Deploy Local']",0.1744,Low Hype (Objective / Wire),False
bloomberg_tech_0011,Bloomberg Technology,bloomberg_tech,Technology & Finance,Institutional Financial,rss,Cybersecurity Budget Growth Slows to Single Digits in Annual Corporate CFO Survey,"Corporate chief information officers reported a median cybersecurity spending increase of 6.2%, down from 11.5% in the preceding fiscal cycle.",https://example.com/bloomberg_tech/bloomberg_tech_0011,2026-09-10T12:00:00Z,Bloomberg Technology Staff,1.0,0.14,,0.1258,0.0,0.0292,0.0,0.0,3,"['Annual Corporate', 'Cybersecurity Budget Growth Slows', 'Single Digits']",0.0373,Low Hype (Objective / Wire),False
bloomberg_tech_0012,Bloomberg Technology,bloomberg_tech,Technology & Finance,Institutional Financial,rss,Venture Capital Funding in Robotics Increases 28% Driven by Warehouse Automation,"Logistics automation attracted $3.8 billion in early-stage financing, defying broader tech venture contractions as fulfillment centers automate physical workflows.",https://example.com/bloomberg_tech/bloomberg_tech_0012,2026-09-10T12:00:00Z,Bloomberg Technology Staff,1.0,0.25,,0.1429,0.0,0.0,0.0,0.0,3,"['Robotics Increases', 'Venture Capital Funding', 'Warehouse Automation']",0.0357,Low Hype (Objective / Wire),False
bloomberg_tech_0013,Bloomberg Technology,bloomberg_tech,Technology & Finance,Institutional Financial,rss,Meta Inks Multi-Year Clean Energy Purchase Agreements for AI Data Hubs,Meta Platforms signed 1.2 gigawatts of geothermal and solar power contracts to supply energy for expanding neural network training centers across the American Midwest.,https://example.com/bloomberg_tech/bloomberg_tech_0013,2026-09-10T12:00:00Z,Bloomberg Technology Staff,1.0,0.17,,0.35,0.0,0.0292,0.0,0.85,6,"['American Midwest', 'Data Hubs', 'META', 'Meta Inks Multi', 'Meta Platforms', 'Year Clean Energy Purchase Agreements']",0.2208,Low Hype (Objective / Wire),False
bloomberg_tech_0014,Bloomberg Technology,bloomberg_tech,Technology & Finance,Institutional Financial,rss,Smartphone Replacement Cycles Extend to 41 Months Globally,"Global handset shipments stabilized with consumer upgrade cycles extending to an average of 41 months, despite promotional AI software features.",https://example.com/bloomberg_tech/bloomberg_tech_0014,2026-09-10T12:00:00Z,Bloomberg Technology Staff,1.0,0.2,,0.2,0.0,0.0,0.0,0.85,2,"['Months Globally', 'Smartphone Replacement Cycles Extend']",0.1775,Low Hype (Objective / Wire),False
bloomberg_tech_0015,Bloomberg Technology,bloomberg_tech,Technology & Finance,Institutional Financial,rss,Tech Sector Debt Issuance Reaches Record High Amid Capital Expenditure Expansion,"Large-cap technology corporations issued $48 billion in investment-grade corporate bonds to fund server real estate, data centers, and advanced silicon stockpiles.",https://example.com/bloomberg_tech/bloomberg_tech_0015,2026-09-10T12:00:00Z,Bloomberg Technology Staff,1.0,0.19,,0.36,0.0,0.0,0.0,0.0,1,['Tech Sector Debt Issuance Reaches Record High Amid Capital Expenditure Expansion'],0.09,Low Hype (Objective / Wire),False
reuters_biz_0016,Reuters Business,reuters_biz,Macro & Markets,Wire Service (Baseline),rss,Federal Reserve Holds Benchmark Rate Steady at 5.25%-5.50% Citing Inflation Data,"The Federal Open Market Committee maintained its benchmark overnight borrowing rate in a targeted range of 5.25%-5.50%, noting balanced risks in employment and price stabilization.",https://example.com/reuters_biz/reuters_biz_0016,2026-09-10T12:00:00Z,Reuters Business Staff,0.9,0.1,,0.5,0.0,0.0,0.0,0.0,3,"['Citing Inflation Data', 'FEDERAL RESERVE', 'Federal Reserve Holds Benchmark Rate Steady']",0.1225,Low Hype (Objective / Wire),False
reuters_biz_0017,Reuters Business,reuters_biz,Macro & Markets,Wire Service (Baseline),rss,"US Nonfarm Payrolls Rose by 175,000 in August; Unemployment Rate Holds at 4.1%","The Bureau of Labor Statistics reported nonfarm payroll growth of 175,000 jobs last month, broadly consistent with consensus estimates of 165,000.",https://example.com/reuters_biz/reuters_biz_0017,2026-09-10T12:00:00Z,Reuters Business Staff,0.9,0.08,,0.4222,0.0,0.0318,0.0,0.0,3,"['Labor Statistics', 'Nonfarm Payrolls Rose', 'Unemployment Rate Holds']",0.1097,Low Hype (Objective / Wire),False
reuters_biz_0018,Reuters Business,reuters_biz,Macro & Markets,Wire Service (Baseline),rss,European Central Bank Cuts Policy Rate by 25 Basis Points to Support Growth,The ECB lowered its deposit facility rate by a quarter-point to 3.50% following moderating wage growth across eurozone member economies.,https://example.com/reuters_biz/reuters_biz_0018,2026-09-10T12:00:00Z,Reuters Business Staff,0.9,0.11,,0.1167,0.0,0.0,0.0,0.0,3,"['Basis Points', 'European Central Bank Cuts Policy Rate', 'Support Growth']",0.0286,Low Hype (Objective / Wire),False
reuters_biz_0019,Reuters Business,reuters_biz,Macro & Markets,Wire Service (Baseline),rss,Oil Prices Settle Lower as Supply Concerns Ease and Global Inventories Rise,Brent crude futures declined 1.8% to settle at $74.20 a barrel amid higher crude exports from non-OPEC producers and tepid manufacturing indicators.,https://example.com/reuters_biz/reuters_biz_0019,2026-09-10T12:00:00Z,Reuters Business Staff,0.9,0.12,,0.625,0.0,0.0,0.0,0.0,3,"['Global Inventories Rise', 'Oil Prices Settle Lower', 'Supply Concerns Ease']",0.1531,Low Hype (Objective / Wire),False
reuters_biz_0020,Reuters Business,reuters_biz,Macro & Markets,Wire Service (Baseline),rss,"Consumer Price Index Rose 2.7% Year-Over-Year, Matching Consensus Projections","Core CPI, which excludes volatile food and energy costs, increased 0.2% on a monthly basis, aligning with economists' expectations and stabilizing Treasury yields.",https://example.com/reuters_biz/reuters_biz_0020,2026-09-10T12:00:00Z,Reuters Business Staff,0.9,0.09,,0.95,0.0,0.0,0.0,0.0,3,"['Consumer Price Index Rose', 'Matching Consensus Projections', 'TREASURY']",0.2328,Low Hype (Objective / Wire),False
reuters_biz_0021,Reuters Business,reuters_biz,Macro & Markets,Wire Service (Baseline),rss,Treasury 10-Year Yield Steady at 3.88% Following Treasury Refunding Auction,Yields on the benchmark 10-year US Treasury note traded within a narrow band following strong primary dealer absorption at the monthly auction.,https://example.com/reuters_biz/reuters_biz_0021,2026-09-10T12:00:00Z,Reuters Business Staff,0.9,0.1,,0.3889,0.0,0.0,0.0,0.0,3,"['Following Treasury Refunding Auction', 'TREASURY', 'Year Yield Steady']",0.0953,Low Hype (Objective / Wire),False
reuters_biz_0022,Reuters Business,reuters_biz,Macro & Markets,Wire Service (Baseline),rss,Global Container Shipping Rates Decline 6% on Transpacific Trade Lanes,"Spot container freight rates from Shanghai to Los Angeles fell 6% week-on-week, reflecting easing port congestion and normalized post-peak season container flow.",https://example.com/reuters_biz/reuters_biz_0022,2026-09-10T12:00:00Z,Reuters Business Staff,0.9,0.13,,0.0,0.0,0.0,0.0,0.0,3,"['Global Container Shipping Rates Decline', 'Los Angeles', 'Transpacific Trade Lanes']",0.0,Low Hype (Objective / Wire),False
reuters_biz_0023,Reuters Business,reuters_biz,Macro & Markets,Wire Service (Baseline),rss,Boeing Reaches Tentative Labor Agreement with Commercial Aircraft Machinist Union,"Boeing Co. and union leadership finalized terms on a proposed 25% general wage increase over four years, subject to member ratification votes.",https://example.com/reuters_biz/reuters_biz_0023,2026-09-10T12:00:00Z,Reuters Business Staff,0.9,0.15,,0.2778,0.0,0.0,0.0,0.0,4,"['BOEING', 'Boeing Co', 'Boeing Reaches Tentative Labor Agreement', 'Commercial Aircraft Machinist Union']",0.0681,Low Hype (Objective / Wire),False
reuters_biz_0024,Reuters Business,reuters_biz,Macro & Markets,Wire Service (Baseline),rss,Japan Export Growth Moderates Amid Currency Volatility and Soft Overseas Demand,"Japanese export volumes expanded 5.6% year-on-year in the latest trade bulletin, supported by automotive shipments while machinery orders slowed.",https://example.com/reuters_biz/reuters_biz_0024,2026-09-10T12:00:00Z,Reuters Business Staff,0.9,0.11,,0.4167,0.0,0.0,0.0,0.0,2,"['Japan Export Growth Moderates Amid Currency Volatility', 'Soft Overseas Demand']",0.1021,Low Hype (Objective / Wire),False
reuters_biz_0025,Reuters Business,reuters_biz,Macro & Markets,Wire Service (Baseline),rss,Commercial Real Estate Delinquency Rates Rise Modestly to 1.8% in Q2,"Metropolitan commercial office loan default rates increased slightly to 1.8%, while industrial logistics and multifamily portfolios maintained low default ratios.",https://example.com/reuters_biz/reuters_biz_0025,2026-09-10T12:00:00Z,Reuters Business Staff,0.9,0.14,,0.2778,0.0,0.0,0.0,0.0,1,['Commercial Real Estate Delinquency Rates Rise Modestly'],0.0681,Low Hype (Objective / Wire),False
reuters_biz_0026,Reuters Business,reuters_biz,Macro & Markets,Wire Service (Baseline),rss,Auto Industry EV Transition Paces Below Initial Forecasts as Hybrid Sales Rise,Major automakers reported pure battery electric vehicle sales grew 8% while plug-in hybrid electric vehicles expanded 34% across North American dealerships.,https://example.com/reuters_biz/reuters_biz_0026,2026-09-10T12:00:00Z,Reuters Business Staff,0.9,0.17,,0.25,0.0,0.0292,0.0,0.0,4,"['Auto Industry', 'Hybrid Sales Rise', 'North American', 'Transition Paces Below Initial Forecasts']",0.067,Low Hype (Objective / Wire),False
reuters_biz_0027,Reuters Business,reuters_biz,Macro & Markets,Wire Service (Baseline),rss,World Bank Maintains 2026 Global Economic Growth Forecast at 2.6%,"The multilateral lender projected steady global GDP expansion of 2.6%, highlighting fiscal constraints in developing economies and resilient consumer activity in North America.",https://example.com/reuters_biz/reuters_biz_0027,2026-09-10T12:00:00Z,Reuters Business Staff,0.9,0.1,,0.18,0.0,0.0,0.0,0.0,3,"['Global Economic Growth Forecast', 'North America', 'World Bank Maintains']",0.0441,Low Hype (Objective / Wire),False
reuters_biz_0028,Reuters Business,reuters_biz,Macro & Markets,Wire Service (Baseline),rss,Copper Futures Dip on Inventory Build in London Metal Exchange Warehouses,"LME copper prices slipped 0.9% to $9,120 per metric ton as visible exchange inventories reached an eight-month seasonal peak.",https://example.com/reuters_biz/reuters_biz_0028,2026-09-10T12:00:00Z,Reuters Business Staff,0.9,0.12,,0.0,0.0,0.0,0.0,0.0,3,"['Copper Futures Dip', 'Inventory Build', 'London Metal Exchange Warehouses']",0.0,Low Hype (Objective / Wire),False
reuters_biz_0029,Reuters Business,reuters_biz,Macro & Markets,Wire Service (Baseline),rss,Retail Sales Show Modest 0.3% Increase as Consumers Prioritize Essential Goods,"Department of Commerce data indicated consumer spending expanded 0.3% in July, propelled by grocery and online e-commerce categories.",https://example.com/reuters_biz/reuters_biz_0029,2026-09-10T12:00:00Z,Reuters Business Staff,0.9,0.13,,0.6,0.0,0.0,0.0,0.0,2,"['Consumers Prioritize Essential Goods', 'Retail Sales Show Modest']",0.147,Low Hype (Objective / Wire),False
reuters_biz_0030,Reuters Business,reuters_biz,Macro & Markets,Wire Service (Baseline),rss,"Gold Prices Consolidate Near $2,500 an Ounce Ahead of Central Bank Speeches","Spot bullion traded flat at $2,498 per ounce as precious metals traders awaited macroeconomic guidance from Jackson Hole economic symposium remarks.",https://example.com/reuters_biz/reuters_biz_0030,2026-09-10T12:00:00Z,Reuters Business Staff,0.9,0.15,,0.395,0.0,0.0,0.0,0.0,4,"['Central Bank Speeches', 'Gold Prices Consolidate Near', 'Jackson Hole', 'Ounce Ahead']",0.0968,Low Hype (Objective / Wire),False
cnbc_markets_0031,CNBC Markets,cnbc_markets,Financial Media,Sensational Financial Broadcast,rss,CRASH OR RALLY? Wall Street Strategists Issue Urgent Warning as Volatility Explodes!,Top analysts warn investors are sleepwalking into a massive market trap! Insiders reveal unprecedented portfolio rotation that could trigger an overnight bloodbath or historic breakout.,https://example.com/cnbc_markets/cnbc_markets_0031,2026-09-10T12:00:00Z,CNBC Markets Staff,1.2,0.84,,0.6,1.0,0.5475,0.0,0.85,3,"['Volatility Explodes', 'WALL STREET', 'Wall Street Strategists Issue Urgent Warning']",0.6625,High Hype / Sensational,True
cnbc_markets_0032,CNBC Markets,cnbc_markets,Financial Media,Sensational Financial Broadcast,rss,Jim Cramer: Why This Revolutionary Stock Could Be The Next Nvidia Overnight,Jim Cramer reveals the single game-changer stock that every retail investor must buy before the institutional crowd takes it to the moon!,https://example.com/cnbc_markets/cnbc_markets_0032,2026-09-10T12:00:00Z,CNBC Markets Staff,1.2,0.88,,0.1071,1.0,0.105,0.0,0.85,2,"['Jim Cramer', 'NVIDIA']",0.4423,Moderate Buzz,False
